Job Title,Job URL,Company Name,Compnay URL,Exp,Salary,Location,Skills,Posted
Data Science Digital Data Engineering Practitioner,https://www.naukri.com/job-listings-data-science-digital-data-engineering-practitioner-accenture-solutions-pvt-ltd-gurgaon-gurugram-6-to-8-years-110621902569?src=jobsearchDesk&sid=16233957827611842&xp=13&px=1,Accenture Solutions Pvt Ltd,https://www.naukri.com/accenture-solutions-jobs-careers-27117,6-8 Yrs,Not disclosed,Gurgaon,tableau|Google Analytics|data science|Consulting|Marketing campaigns|Manager Technology|power bi|JIRA,Just Now
Immediate Hiring - Data Science Expertise (Speech Researcher),https://www.naukri.com/job-listings-immediate-hiring-data-science-expertise-speech-researcher-armsoftech-private-limited-chennai-2-to-7-years-090621002491?src=jobsearchDesk&sid=16233957827611842&xp=14&px=1,ARMSOFTECH PRIVATE LIMITED,https://www.naukri.com/armsoftech-jobs-careers-5730622,2-7 Yrs,Not disclosed,Chennai,ASR|TT|Speech Recognition|Speech to speech|Redhat Linux|C++|c|Speech Analytics,1 Day Ago
Chief Intelligence Officer - Data Science & Analytics,https://www.naukri.com/job-listings-chief-intelligence-officer-data-science-analytics-talpro-mumbai-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-8-to-12-years-100221905753?src=jobsearchDesk&sid=16233957827611842&xp=15&px=1,TalPro,https://www.naukri.com/premium-jobs-careers-852658,8-12 Yrs,Not disclosed,"Mumbai, Gurgaon, Delhi / NCR, Bangalore",Data Science|R|SAS|decision trees|Data Management|GLM|machine learning|Statistics,1 Day Ago
Associate Manager - Internal Audit - Data Science/big Data/rpa,https://www.naukri.com/job-listings-associate-manager-internal-audit-data-science-big-data-rpa-serving-skill-bangalore-bengaluru-8-to-10-years-281119911164?src=jobsearchDesk&sid=16233957827611842&xp=16&px=1,Serving Skill,https://www.naukri.com/premium-jobs-careers-852658,8-10 Yrs,Not disclosed,Bangalore,Data Science|Business Intelligence|RPA|R|RPA Tools|Power BI|Automation Anywhere|Big Data,1 Day Ago
Project Manager - Data Science,https://www.naukri.com/job-listings-project-manager-data-science-connexions-bangalore-bengaluru-8-to-10-years-090621905168?src=jobsearchDesk&sid=16233957827611842&xp=17&px=1,Connexions,https://www.naukri.com/premium-jobs-careers-852658,8-10 Yrs,Not disclosed,Bangalore,visualization|R|Power BI|Tableau|Agile|data science|Scrum|Python,1 Day Ago
Data Science Analyst - Education & Research Domain,https://www.naukri.com/job-listings-data-science-analyst-education-research-domain-change-leaders-gurgaon-gurugram-1-to-3-years-050421905513?src=jobsearchDesk&sid=16233957827611842&xp=18&px=1,Change Leaders,https://www.naukri.com/premium-jobs-careers-852658,1-3 Yrs,Not disclosed,Gurgaon,Data Science|Data Scientist|Data Management|Tableau|Data Modeling|Data Analytics|Python,1 Day Ago
SAVP - Data Scientist - Data Science Team - Insurance Domain,https://www.naukri.com/job-listings-savp-data-scientist-data-science-team-insurance-domain-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-291220904339?src=jobsearchDesk&sid=16233957827611842&xp=19&px=1,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,8-13 Yrs,Not disclosed,Gurgaon,Data Science|Data Scientist|Artificial Intelligence|Data Management|Data Modeling|Data Analytics|Machine Learning|Statistics,1 Day Ago
Sr Vice President- Analytics- Data Science Team- Insurance,https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-team-insurance-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-170920905497?src=jobsearchDesk&sid=16233957827611842&xp=20&px=1,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,8-13 Yrs,Not disclosed,Gurgaon,IT Skills|Python|Data Science|Machine Learning|Project Management|BPO|project management|Consulting - BFSI,1 Day Ago
Data Science Engineer - Python/RDBMS,https://www.naukri.com/job-listings-data-science-engineer-python-rdbms-okda-solutions-hyderabad-secunderabad-5-to-10-years-160221900588?src=jobsearchDesk&sid=16233957827611842_1&xp=1&px=2,Okda Solutions,https://www.naukri.com/premium-jobs-careers-852658,5-10 Yrs,Not disclosed,Hyderabad,IT Skills|Python|Software Development|HTML|CSS|Javascript|Data Science|Visualization,1 Day Ago
Associate Vice President - Analytics/ Data Science,https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-140221900517?src=jobsearchDesk&sid=16233957827611842_1&xp=2&px=2,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,7-12 Yrs,Not disclosed,Gurgaon,Data Science|Artificial Intelligence|Data Analytics|Statistics|Analytics|SQL|Python,1 Day Ago
Senior Vice President - Analytics - Data Science Team - IIT/ IIM/ XLRI,https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-iit-iim-xlri-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-121020900814?src=jobsearchDesk&sid=16233957827611842_1&xp=3&px=2,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,8-13 Yrs,Not disclosed,Gurgaon,IT Skills|Python|Data Science|Machine Learning|Project Management|BPO|project management|Artificial Intelligence,1 Day Ago
Permanent Job | NLP Data Science Engineer | MNC | Chennai,https://www.naukri.com/job-listings-permanent-nlp-data-science-engineer-mnc-chennai-pes-hr-services-a-div-of-amal-infosystems-pvt-ltd-chennai-3-to-7-years-090621002903?src=jobsearchDesk&sid=16233957827611842_1&xp=4&px=2,PES HR Services a div of AMAL INFOSYSTEMS Pvt Ltd,https://www.naukri.com/pes-hr-services-a-div-of-amal-infosystems-jobs-careers-3077404,3-7 Yrs,Not disclosed,Chennai,Text Blob|Spacy|opensource frameworks|GRU|LSTM|RNN|NLTK|Stanford CoreNLP,
"Hiring For Data Scientist, (Permanent WFH)",https://www.naukri.com/job-listings-hiring-for-data-scientist-permanent-wfh-intellectyx-data-science-india-private-limited-coimbatore-7-to-12-years-090621007868?src=jobsearchDesk&sid=16233957827611842_1&xp=5&px=2,INTELLECTYX DATA SCIENCE INDIA PRIVATE LIMITED,https://www.naukri.com/intellectyx-data-science-india-jobs-careers-905374,7-12 Yrs,"9,00,000 - 19,00,000 PA.",Coimbatore,IT Skills|Python|Data Science|Machine Learning|Artificial Intelligence|Cloud|Big Data|Pytorch,1 Day Ago
Associate Business Analyst,https://www.naukri.com/job-listings-associate-business-analyst-flipkart-internet-private-limited-bangalore-bengaluru-1-to-5-years-090621900723?src=jobsearchDesk&sid=16233957827611842_1&xp=6&px=2,Flipkart Internet Private Limited,https://www.naukri.com/flipkart-internet-jobs-careers-530713,1-5 Yrs,Not disclosed,Bangalore,Data Science|R|Excel|Express|Power Bi|Data Analysis|Data Mining|Analytics,2 Days Ago
Data Annotator - Intern,https://www.naukri.com/job-listings-data-annotator-intern-aptiv-components-india-private-limited-bangalore-bengaluru-0-to-1-years-090621005146?src=jobsearchDesk&sid=16233957827611842_1&xp=7&px=2,Aptiv Components India Private Limited,https://www.naukri.com/aptiv-components-india-jobs-careers-480105,0-1 Yrs,Not disclosed,Bangalore,data science|Data Analysis|ADAS|Annotation|Python,1 Day Ago
Tableau Consultant/Lead - with UST Global-Bangalore/Trivandrum/Cochin,https://www.naukri.com/job-listings-tableau-consultant-lead-with-ust-global-bangalore-trivandrum-cochin-us-technology-international-pvt-ltd-kochi-cochin-bangalore-bengaluru-trivandrum-thiruvananthapuram-10-to-15-years-100621007170?src=jobsearchDesk&sid=16233957827611842_1&xp=8&px=2,US Technologies,https://www.naukri.com/us-technologies-jobs-careers-1316,10-15 Yrs,"50,000 PA.","Kochi/Cochin, Bangalore, Trivandrum/Thiruvananthapuram",Data Science|Business Intelligence Reporting|SSRS|Data Analysis|MS SQL Server|Data Visualization|Tableau|Dashboards,1 Day Ago
Data Analyst | SQL and Python,https://www.naukri.com/job-listings-data-analyst-sql-and-python-springer-nature-technology-and-publishing-solutions-private-limited-pune-3-to-5-years-110621003194?src=jobsearchDesk&sid=16233957827611842_1&xp=9&px=2,Springer Nature Technology and Publishing SOLUTIONS PRIVATE LIMITED,https://www.naukri.com/springer-nature-technology-and-publishing-solutions-jobs-careers-144412,3-5 Yrs,Not disclosed,Pune,Data Analytics|Python|SQL|Data Science|Data Analysis|Big Data|Dashboards|Econometrics,Just Now
Info Security Engineer,https://www.naukri.com/job-listings-info-security-engineer-wells-fargo-international-solutions-private-ltd-india-3-to-8-years-100621908142?src=jobsearchDesk&sid=16233957827611842_1&xp=10&px=2,Wells Fargo International Solutions Private Ltd,https://www.naukri.com/wells-fargo-international-solutions-jobs-careers-135571,3-8 Yrs,Not disclosed,Chennai,IT Skills|Java|Python|Software Development|Testing|Quality Assurance|Data Science|Anomaly Detection,1 Day Ago
Associate Manager,https://www.naukri.com/job-listings-associate-manager-allstate-solutions-private-limited-india-12-to-15-years-090621901836?src=jobsearchDesk&sid=16233957827611842_1&xp=11&px=2,Allstate Solutions Private Limited,https://www.naukri.com/allstate-solutions-jobs-careers-944446,12-15 Yrs,Not disclosed,India,Data Science|Predictive Modeling|R|Exploratory Data Analysis|Advanced Analytics|Data Mining|Machine Learning|Statistics,2 Days Ago
Senior Analyst,https://www.naukri.com/job-listings-senior-analyst-saarthee-technology-pvt-ltd-gurgaon-gurugram-2-to-4-years-090621005788?src=jobsearchDesk&sid=16233957827611842_1&xp=12&px=2,Saarthee Technology Pvt Ltd,https://www.naukri.com/saarthee-technology-jobs-careers-5827590,2-4 Yrs,"4,50,000 - 9,50,000 PA.",Gurgaon,Business Analytics|Problem Solving|Advanced Excel|Tableau|Machine Learning|SQL|Data Science|Presentation Skills,1 Day Ago
